X,Y,Z,B,G,R
181.5,180.0,126.3,24.3,28.3,40.0
583.6,558.0,457.3,68.3,77.3,114.7
288.5,300.0,565.4,76.0,55.3,39.7
186.4,237.0,126.5,26.0,39.7,34.0
380.5,353.0,713.2,90.3,66.0,63.3
495.2,624.0,721.6,106.0,110.0,62.3
587.3,522.0,121.9,31.7,64.7,128.0
229.3,188.0,669.4,81.0,42.7,30.7
392.9,291.0,234.1,42.3,39.7,101.0
137.2,113.0,234.7,34.7,24.7,35.0
561.6,722.0,202.0,50.3,105.0,88.7
684.7,706.0,134.2,39.0,92.3,132.7
163.0,122.0,568.2,61.7,28.3,19.3
274.0,396.0,189.0,42.0,65.0,41.3
270.8,189.0,104.4,22.0,28.0,89.0
910.6,1020.0,172.5,51.7,139.0,173.3
404.6,290.0,498.8,68.0,48.7,101.0
254.8,293.0,683.3,91.7,64.0,31.3
1460.5,1550.0,1700.8,237.7,239.3,225.3
944.6,1000.0,1132.3,162.3,158.3,147.0
595.9,633.0,724.8,107.3,102.3,97.3
308.9,326.0,371.3,60.3,59.3,55.7
159.7,166.0,197.9,33.3,31.0,31.0
52.2,53.1,65.9,13.3,12.7,12.7
